未来喫茶 — イベラン診断用ボーダーデータ（イベント名 × ボーダー）
========================================================================
出典: 参考データ/【完全版】プロセカボーダーランキング のコピー
生成元: js/border-rankings-data.js


========================================================================
■ TOP10（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
  34  ボクのあしあと キミのゆくさき                                107,777,777  約1億777万P        瑞希      ニーゴ       チアフル    
  35  怪盗紳士のハラハラ!?ホワイトデー                              107,770,517  約1億777万P        司       混合        チアフル    
  36  交響する街の片隅で                                      106,000,726  約1億600万P        志歩      混合        チアフル    
  37  絶叫!?オオカミの森へようこそ!                               105,655,720  約1億565万P        こはね     混合        チアフル    
  38  Time to take off！                              105,331,388  約1億533万P        冬弥      ビビバス      マラソン    
  39  セカイに響け!Your Song                               105,020,831  約1億502万P        ダショミク   混合        チアフル    
  40  Rise as ONE！                                   104,301,112  約1億430万P        彰人      混合        チアフル    
  41  Deep Dark For Light                            104,200,517  約1億420万P        司       ワンダショ     マラソン    
  42  ハロー･グッド･デイ！                                    104,167,545  約1億416万P        一歌      混合        チアフル    
  43  No seek No find                                104,000,509  約1億400万P        咲希      レオニ       マラソン    
  44  青空の先、輝きを追いかけて                                  103,856,597  約1億385万P        愛莉      モモジャン     マラソン    
  45  超克のプロタゴニスタ                                     103,623,994  約1億362万P        寧々      ワンダショ     マラソン    
  46  OVER RAD SQUAD!!                               103,200,000  約1億320万P        こはね     ビビバス      マラソン    
  47  カナリアは窮境に歌う                                     101,510,720  約1億151万P        寧々      ワンダショ     マラソン    
  48  STEP by STEP!                                  101,227,414  約1億122万P        みのり     モモジャン     マラソン    
  49  Walk on and on                                 101,080,525  約1億108万P        冬弥      ビビバス      マラソン    
  50  Knowing the Unseen                             101,025,430  約1億102万P        絵名      ニーゴ       マラソン    
  51  CHANGE！えむは王女さま！？                               100,909,624  約1億90万P         えむ      ワンダショ     マラソン    
  52  Light Up the Fire                              100,800,509  約1億80万P         杏       ビビバス      マラソン    
  53  覚めない幻想をノックして                                   100,000,210  約1億P            奏       ニーゴ       マラソン    
  54  Happy Enjoy Music！                             100,000,000  約1億P            咲希      レオニ       マラソン    
  55  セカイの桜、つながる想い                                    99,326,092  約9932万P         ニーゴミク   混合        チアフル    
  56  空白のキャンバスに描く私は                                   98,765,432  約9876万P         絵名      ニーゴ       マラソン    
  57  The Power Of Regret                             97,703,286  約9770万P         寧々      ワンダショ     マラソン    
  58  Whip the wimp girl!!                            97,260,000  約9726万P         杏       ビビバス      マラソン    
  59  灯を手繰りよせて                                        96,907,302  約9690万P         まふゆ     ニーゴ       マラソン    
  60  願いは、いつか朝をこえて                                    96,688,473  約9668万P         絵名      ニーゴ       マラソン    
  61  つなぐPainful Hope                                 96,225,574  約9622万P         遥       モモジャン     チアフル    
  62  Aim higher and higher！                          95,952,809  約9595万P         こはね     ビビバス      マラソン    
  63  絶体絶命!?アイランドパニック!                                95,946,472  約9594万P         寧々      ワンダショ     マラソン    
  64  The first concerto                              95,252,525  約9525万P         冬弥      ビビバス      マラソン    
  65  あたしたちのハッピーエンド                                   95,000,909  約9500万P         えむ      ワンダショ     マラソン    
  66  あの日の夢の、彼方向こうへ                                   94,706,109  約9470万P         遥       モモジャン     チアフル    
  67  Our Golden Days                                 94,501,206  約9450万P         杏       混合        マラソン    
  68  みんなでエンジョイ!スポジョイパーク                              94,400,013  約9440万P         奏       混合        チアフル    
  69  Path made by faith                              94,140,108  約9414万P         志歩      レオニ       マラソン    
  70  拝啓、あの頃のわたしへ                                     94,000,069  約9400万P         みのり     モモジャン     マラソン    
  71  start rolling! stars' crossing                  93,000,414  約9300万P         みのり     モモジャン     マラソン    
  72  お縄を頂戴!?天馬捕物帳                                    92,624,517  約9262万P         司       ワンダショ     マラソン    
  73  隣に立つ、優しいあなたへ                                    92,500,210  約9250万P         穂波      混合        チアフル    
  74  Same Dreams,Same Colors                         92,222,525  約9222万P         冬弥      ビビバス      マラソン    
  75  変わらぬあたたかさの隣で                                    90,273,406  約9027万P         瑞希      混合        チアフル    
  76  迷い子の手を引く、そのさきは                                  90,025,127  約9002万P         まふゆ     ニーゴ       マラソン    
  77  Amid the Wavering Light                         90,000,827  約9000万P         瑞希      ニーゴ       マラソン    
  78  あの日、奏でた音色を                                      89,997,223  約8999万P         奏       ニーゴ       マラソン    
  79  Revival my dream                                89,455,525  約8945万P         類       ワンダショ     マラソン    
  80  逆光のレンズフレア                                       89,256,087  約8925万P         類       ワンダショ     マラソン    
  81  Kick it up a notch                              88,889,999  約8888万P         こはね     ビビバス      マラソン    
  82  close game/OFFLINE                              88,313,284  約8831万P         寧々      混合        チアフル    
